N,d,VFL TeamName,R,W,D,L,G,S,a,b,c,d,e,f,g,h,S,A,B,C,D,E,F,G,H,S,q,r,x,T,season
11,0,VFL Stockholm,28,9,8,11,44,:,47,-3,35,14,4,4,6,24,:,25,-1,16,14,5,4,5,20,:,22,-2,19,,Season 58783
12,0,VFL Copenhagen,28,6,8,14,20,:,34,-14,26,14,4,5,5,9,:,13,-4,17,14,2,3,9,11,:,21,-10,9,,Season 58783
13,-1,VFL Bern,28,7,5,16,29,:,51,-22,26,14,4,1,9,14,:,26,-12,13,14,3,4,7,15,:,25,-10,13,,Season 58783
14,1,VFL Ankara,28,8,2,18,34,:,60,-26,26,14,5,1,8,21,:,28,-7,16,14,3,1,10,13,:,32,-19,10,,Season 58783
15,0,VFL Edinburgh,28,5,6,17,27,:,53,-26,21,14,3,4,7,23,:,26,-3,13,14,2,2,10,4,:,27,-23,8,,Season 58783
16,0,VFL Vienna,28,3,8,17,20,:,46,-26,17,14,2,4,8,12,:,22,-10,10,14,1,4,9,8,:,24,-16,7,,Season 58783
1,0,VFL Amsterdam,29,22,4,3,57,:,23,34,70,14,11,2,1,24,:,8,16,35,15,11,2,2,33,:,15,18,35,,Season 58783
2,0,VFL Madrid,29,18,5,6,61,:,31,30,59,14,10,3,1,31,:,10,21,33,15,8,2,5,30,:,21,9,26,,Season 58783
3,0,VFL Berlin,29,15,7,7,50,:,28,22,52,15,9,4,2,30,:,14,16,31,14,6,3,5,20,:,14,6,21,,Season 58783
4,0,VFL London,29,15,4,10,45,:,32,13,49,14,8,2,4,26,:,14,12,26,15,7,2,6,19,:,18,1,23,,Season 58783
5,0,VFL Oslo,29,14,7,8,39,:,29,10,49,14,5,4,5,16,:,14,2,19,15,9,3,3,23,:,15,8,30,,Season 58783
6,-1,VFL Rome,29,14,4,11,43,:,38,5,46,15,8,1,6,29,:,24,5,25,14,6,3,5,14,:,14,0,21,,Season 58783
7,1,VFL Athens,29,14,4,11,31,:,38,-7,46,15,8,1,6,18,:,18,0,25,14,6,3,5,13,:,20,-7,21,,Season 58783
8,1,VFL Lisbon,29,12,7,10,40,:,35,5,43,15,6,4,5,21,:,14,7,22,14,6,3,5,19,:,21,-2,21,,Season 58783
9,0,VFL Brussels,29,10,10,9,31,:,28,3,40,15,5,5,5,13,:,12,1,20,14,5,5,4,18,:,16,2,20,,Season 58783
10,-1,VFL Stockholm,29,10,8,11,46,:,47,-1,38,15,5,4,6,26,:,25,1,19,14,5,4,5,20,:,22,-2,19,,Season 58783
11,1,VFL Paris,29,11,4,14,42,:,39,3,37,14,8,1,5,24,:,12,12,25,15,3,3,9,18,:,27,-9,12,,Season 58783
12,-1,VFL Ankara,29,9,2,18,35,:,60,-25,29,14,5,1,8,21,:,28,-7,16,15,4,1,10,14,:,32,-18,13,,Season 58783
13,1,VFL Copenhagen,29,6,9,14,20,:,34,-14,27,15,4,6,5,9,:,13,-4,18,14,2,3,9,11,:,21,-10,9,,Season 58783
14,1,VFL Bern,29,7,5,17,29,:,52,-23,26,15,4,1,10,14,:,27,-13,13,14,3,4,7,15,:,25,-10,13,,Season 58783
15,0,VFL Edinburgh,29,5,6,18,28,:,56,-28,21,14,3,4,7,23,:,26,-3,13,15,2,2,11,5,:,30,-25,8,,Season 58783
16,0,VFL Vienna,29,3,8,18,21,:,48,-27,17,14,2,4,8,12,:,22,-10,10,15,1,4,10,9,:,26,-17,7,,Season 58783
1,0,VFL Amsterdam,30,22,4,4,57,:,24,33,70,15,11,2,2,24,:,9,15,35,15,11,2,2,33,:,15,18,35,,Season 58783
2,0,VFL Madrid,30,18,5,7,61,:,33,28,59,15,10,3,2,31,:,12,19,33,15,8,2,5,30,:,21,9,26,,Season 58783
3,0,VFL Berlin,30,16,7,7,51,:,28,23,55,15,9,4,2,30,:,14,16,31,15,7,3,5,21,:,14,7,24,,Season 58783
4,-1,VFL Oslo,30,15,7,8,44,:,29,15,52,15,6,4,5,21,:,14,7,22,15,9,3,3,23,:,15,8,30,,Season 58783
5,1,VFL London,30,16,4,10,48,:,34,14,52,15,9,2,4,29,:,16,13,29,15,7,2,6,19,:,18,1,23,,Season 58783
6,0,VFL Rome,30,14,4,12,43,:,39,4,46,15,8,1,6,29,:,24,5,25,15,6,3,6,14,:,15,-1,21,,Season 58783
7,0,VFL Athens,30,14,4,12,31,:,41,-10,46,15,8,1,6,18,:,18,0,25,15,6,3,6,13,:,23,-10,21,,Season 58783
8,0,VFL Lisbon,30,12,7,11,42,:,38,4,43,15,6,4,5,21,:,14,7,22,15,6,3,6,21,:,24,-3,21,,Season 58783
9,0,VFL Brussels,30,10,11,9,32,:,29,3,41,15,5,5,5,13,:,12,1,20,15,5,6,4,19,:,17,2,21,,Season 58783
10,0,VFL Stockholm,30,11,8,11,48,:,47,1,41,15,5,4,6,26,:,25,1,19,15,6,4,5,22,:,22,0,22,,Season 58783
11,0,VFL Paris,30,12,4,14,45,:,39,6,40,15,9,1,5,27,:,12,15,28,15,3,3,9,18,:,27,-9,12,,Season 58783
12,0,VFL Ankara,30,10,2,18,36,:,60,-24,32,15,6,1,8,22,:,28,-6,19,15,4,1,10,14,:,32,-18,13,,Season 58783
13,0,VFL Copenhagen,30,6,9,15,20,:,36,-16,27,15,4,6,5,9,:,13,-4,18,15,2,3,10,11,:,23,-12,9,,Season 58783
14,0,VFL Bern,30,7,5,18,29,:,57,-28,26,15,4,1,10,14,:,27,-13,13,15,3,4,8,15,:,30,-15,13,,Season 58783
15,0,VFL Edinburgh,30,5,7,18,29,:,57,-28,22,15,3,5,7,24,:,27,-3,14,15,2,2,11,5,:,30,-25,8,,Season 58783
16,0,VFL Vienna,30,4,8,18,23,:,48,-25,20,15,3,4,8,14,:,22,-8,13,15,1,4,10,9,:,26,-17,7,,Season 58783
1,0,VFL Amsterdam,1,1,0,0,3,:,0,3,3,0,0,0,0,0,:,0,0,0,1,1,0,0,3,:,0,3,3,,Season 58782
2,0,VFL London,1,1,0,0,2,:,0,2,3,1,1,0,0,2,:,0,2,3,0,0,0,0,0,:,0,0,0,,Season 58782
3,0,VFL Berlin,1,1,0,0,1,:,0,1,3,0,0,0,0,0,:,0,0,0,1,1,0,0,1,:,0,1,3,,Season 58782
3,0,VFL Oslo,1,1,0,0,1,:,0,1,3,0,0,0,0,0,:,0,0,0,1,1,0,0,1,:,0,1,3,,Season 58782
3,0,VFL Paris,1,1,0,0,1,:,0,1,3,0,0,0,0,0,:,0,0,0,1,1,0,0,1,:,0,1,3,,Season 58782
3,0,VFL Stockholm,1,1,0,0,1,:,0,1,3,1,1,0,0,1,:,0,1,3,0,0,0,0,0,:,0,0,0,,Season 58782
7,0,VFL Rome,1,0,1,0,1,:,1,0,1,1,0,1,0,1,:,1,0,1,0,0,0,0,0,:,0,0,0,,Season 58782
7,0,VFL Vienna,1,0,1,0,1,:,1,0,1,0,0,0,0,0,:,0,0,0,1,0,1,0,1,:,1,0,1,,Season 58782
9,0,VFL Ankara,1,0,1,0,0,:,0,0,1,1,0,1,0,0,:,0,0,1,0,0,0,0,0,:,0,0,0,,Season 58782
9,0,VFL Bern,1,0,1,0,0,:,0,0,1,0,0,0,0,0,:,0,0,0,1,0,1,0,0,:,0,0,1,,Season 58782
11,0,VFL Copenhagen,1,0,0,1,0,:,1,-1,0,0,0,0,0,0,:,0,0,0,1,0,0,1,0,:,1,-1,0,,Season 58782
11,0,VFL Edinburgh,1,0,0,1,0,:,1,-1,0,1,0,0,1,0,:,1,-1,0,0,0,0,0,0,:,0,0,0,,Season 58782
11,0,VFL Lisbon,1,0,0,1,0,:,1,-1,0,1,0,0,1,0,:,1,-1,0,0,0,0,0,0,:,0,0,0,,Season 58782
11,0,VFL Madrid,1,0,0,1,0,:,1,-1,0,1,0,0,1,0,:,1,-1,0,0,0,0,0,0,:,0,0,0,,Season 58782
15,0,VFL Athens,1,0,0,1,0,:,2,-2,0,0,0,0,0,0,:,0,0,0,1,0,0,1,0,:,2,-2,0,,Season 58782
16,0,VFL Brussels,1,0,0,1,0,:,3,-3,0,1,0,0,1,0,:,3,-3,0,0,0,0,0,0,:,0,0,0,,Season 58782
1,-1,VFL Stockholm,2,2,0,0,4,:,1,3,6,1,1,0,0,1,:,0,1,3,1,1,0,0,3,:,1,2,3,,Season 58782
2,-1,VFL Oslo,2,2,0,0,3,:,0,3,6,1,1,0,0,2,:,0,2,3,1,1,0,0,1,:,0,1,3,,Season 58782
2,-1,VFL Paris,2,2,0,0,3,:,0,3,6,1,1,0,0,2,:,0,2,3,1,1,0,0,1,:,0,1,3,,Season 58782
4,1,VFL Amsterdam,2,1,1,0,4,:,1,3,4,1,0,1,0,1,:,1,0,1,1,1,0,0,3,:,0,3,3,,Season 58782
5,1,VFL London,2,1,1,0,3,:,1,2,4,1,1,0,0,2,:,0,2,3,1,0,1,0,1,:,1,0,1,,Season 58782
6,-1,VFL Bern,2,1,1,0,2,:,1,1,4,1,1,0,0,2,:,1,1,3,1,0,1,0,0,:,0,0,1,,Season 58782
7,-1,VFL Copenhagen,2,1,0,1,2,:,1,1,3,1,1,0,0,2,:,0,2,3,1,0,0,1,0,:,1,-1,0,,Season 58782
8,1,VFL Berlin,2,1,0,1,2,:,3,-1,3,1,0,0,1,1,:,3,-2,0,1,1,0,0,1,:,0,1,3,,Season 58782
9,1,VFL Rome,2,0,2,0,2,:,2,0,2,1,0,1,0,1,:,1,0,1,1,0,1,0,1,:,1,0,1,,Season 58782
9,1,VFL Vienna,2,0,2,0,2,:,2,0,2,1,0,1,0,1,:,1,0,1,1,0,1,0,1,:,1,0,1,,Season 58782
11,0,VFL Lisbon,2,0,1,1,1,:,2,-1,1,1,0,0,1,0,:,1,-1,0,1,0,1,0,1,:,1,0,1,,Season 58782
12,-1,VFL Athens,2,0,1,1,1,:,3,-2,1,1,0,1,0,1,:,1,0,1,1,0,0,1,0,:,2,-2,0,,Season 58782
13,1,VFL Ankara,2,0,1,1,0,:,2,-2,1,1,0,1,0,0,:,0,0,1,1,0,0,1,0,:,2,-2,0,,Season 58782
14,1,VFL Edinburgh,2,0,0,2,1,:,3,-2,0,1,0,0,1,0,:,1,-1,0,1,0,0,1,1,:,2,-1,0,,Season 58782
15,1,VFL Madrid,2,0,0,2,0,:,3,-3,0,1,0,0,1,0,:,1,-1,0,1,0,0,1,0,:,2,-2,0,,Season 58782
16,0,VFL Brussels,2,0,0,2,0,:,5,-5,0,1,0,0,1,0,:,3,-3,0,1,0,0,1,0,:,2,-2,0,,Season 58782
1,-1,VFL Oslo,3,3,0,0,4,:,0,4,9,1,1,0,0,2,:,0,2,3,2,2,0,0,2,:,0,2,6,,Season 58782
2,-1,VFL Amsterdam,3,2,1,0,8,:,2,6,7,1,0,1,0,1,:,1,0,1,2,2,0,0,7,:,1,6,6,,Season 58782
3,-1,VFL London,3,2,1,0,6,:,2,4,7,1,1,0,0,2,:,0,2,3,2,1,1,0,4,:,2,2,4,,Season 58782
4,1,VFL Stockholm,3,2,1,0,5,:,2,3,7,2,1,1,0,2,:,1,1,4,1,1,0,0,3,:,1,2,3,,Season 58782
5,-1,VFL Copenhagen,3,2,0,1,5,:,1,4,6,1,1,0,0,2,:,0,2,3,2,1,0,1,3,:,1,2,3,,Season 58782
6,1,VFL Paris,3,2,0,1,4,:,4,0,6,2,1,0,1,3,:,4,-1,3,1,1,0,0,1,:,0,1,3,,Season 58782
7,-1,VFL Lisbon,3,1,1,1,5,:,3,2,4,2,1,0,1,4,:,2,2,3,1,0,1,0,1,:,1,0,1,,Season 58782
8,1,VFL Bern,3,1,1,1,3,:,4,-1,4,1,1,0,0,2,:,1,1,3,2,0,1,1,1,:,3,-2,1,,Season 58782
9,0,VFL Vienna,3,0,3,0,3,:,3,0,3,1,0,1,0,1,:,1,0,1,2,0,2,0,2,:,2,0,2,,Season 58782
10,1,VFL Berlin,3,1,0,2,4,:,6,-2,3,1,0,0,1,1,:,3,-2,0,2,1,0,1,3,:,3,0,3,,Season 58782
11,-1,VFL Madrid,3,1,0,2,3,:,5,-2,3,2,1,0,1,3,:,3,0,3,1,0,0,1,0,:,2,-2,0,,Season 58782
12,-1,VFL Brussels,3,1,0,2,3,:,6,-3,3,2,1,0,1,3,:,4,-1,3,1,0,0,1,0,:,2,-2,0,,Season 58782
13,1,VFL Rome,3,0,2,1,3,:,5,-2,2,2,0,1,1,2,:,4,-2,1,1,0,1,0,1,:,1,0,1,,Season 58782
14,1,VFL Athens,3,0,1,2,2,:,7,-5,1,1,0,1,0,1,:,1,0,1,2,0,0,2,1,:,6,-5,0,,Season 58782
15,1,VFL Ankara,3,0,1,2,0,:,5,-5,1,2,0,1,1,0,:,3,-3,1,1,0,0,1,0,:,2,-2,0,,Season 58782
16,1,VFL Edinburgh,3,0,0,3,1,:,4,-3,0,2,0,0,2,0,:,2,-2,0,1,0,0,1,1,:,2,-1,0,,Season 58782
1,0,VFL Oslo,4,4,0,0,6,:,0,6,12,2,2,0,0,4,:,0,4,6,2,2,0,0,2,:,0,2,6,,Season 58782
2,0,VFL Amsterdam,4,2,2,0,10,:,4,6,8,2,0,2,0,3,:,3,0,2,2,2,0,0,7,:,1,6,6,,Season 58782
3,-1,VFL Lisbon,4,2,1,1,8,:,3,5,7,2,1,0,1,4,:,2,2,3,2,1,1,0,4,:,1,3,4,,Season 58782
4,-1,VFL Bern,4,2,1,1,6,:,4,2,7,2,2,0,0,5,:,1,4,6,2,0,1,1,1,:,3,-2,1,,Season 58782
5,1,VFL London,4,2,1,1,6,:,5,1,7,2,1,0,1,2,:,3,-1,3,2,1,1,0,4,:,2,2,4,,Season 58782
6,1,VFL Stockholm,4,2,1,1,5,:,5,0,7,2,1,1,0,2,:,1,1,4,2,1,0,1,3,:,4,-1,3,,Season 58782
7,1,VFL Copenhagen,4,2,0,2,5,:,3,2,6,2,1,0,1,2,:,2,0,3,2,1,0,1,3,:,1,2,3,,Season 58782
8,-1,VFL Vienna,4,1,3,0,4,:,3,1,6,2,1,1,0,2,:,1,1,4,2,0,2,0,2,:,2,0,2,,Season 58782
9,1,VFL Paris,4,2,0,2,4,:,7,-3,6,2,1,0,1,3,:,4,-1,3,2,1,0,1,1,:,3,-2,3,,Season 58782
10,-1,VFL Athens,4,1,1,2,5,:,7,-2,4,2,1,1,0,4,:,1,3,4,2,0,0,2,1,:,6,-5,0,,Season 58782
11,1,VFL Berlin,4,1,1,2,4,:,6,-2,4,2,0,1,1,1,:,3,-2,1,2,1,0,1,3,:,3,0,3,,Season 58782
12,-1,VFL Edinburgh,4,1,0,3,3,:,4,-1,3,2,0,0,2,0,:,2,-2,0,2,1,0,1,3,:,2,1,3,,Season 58782
13,0,VFL Rome,4,0,3,1,5,:,7,-2,3,2,0,1,1,2,:,4,-2,1,2,0,2,0,3,:,3,0,2,,Season 58782
14,1,VFL Madrid,4,1,0,3,3,:,6,-3,3,2,1,0,1,3,:,3,0,3,2,0,0,2,0,:,3,-3,0,,Season 58782
15,1,VFL Brussels,4,1,0,3,3,:,8,-5,3,2,1,0,1,3,:,4,-1,3,2,0,0,2,0,:,4,-4,0,,Season 58782
16,1,VFL Ankara,4,0,2,2,0,:,5,-5,2,2,0,1,1,0,:,3,-3,1,2,0,1,1,0,:,2,-2,1,,Season 58782
1,0,VFL Oslo,5,4,0,1,6,:,2,4,12,2,2,0,0,4,:,0,4,6,3,2,0,1,2,:,2,0,6,,Season 58782
2,0,VFL Amsterdam,5,3,2,0,12,:,4,8,11,2,0,2,0,3,:,3,0,2,3,3,0,0,9,:,1,8,9,,Season 58782
3,-1,VFL Stockholm,5,3,1,1,7,:,6,1,10,3,2,1,0,4,:,2,2,7,2,1,0,1,3,:,4,-1,3,,Season 58782
4,-1,VFL Vienna,5,2,3,0,5,:,3,2,9,2,1,1,0,2,:,1,1,4,3,1,2,0,3,:,2,1,5,,Season 58782
5,-1,VFL Paris,5,3,0,2,6,:,7,-1,9,3,2,0,1,5,:,4,1,6,2,1,0,1,1,:,3,-2,3,,Season 58782
6,1,VFL Lisbon,5,2,1,2,8,:,4,4,7,3,1,0,2,4,:,3,1,3,2,1,1,0,4,:,1,3,4,,Season 58782
7,-1,VFL Berlin,5,2,1,2,8,:,6,2,7,2,0,1,1,1,:,3,-2,1,3,2,0,1,7,:,3,4,6,,Season 58782
8,1,VFL London,5,2,1,2,7,:,7,0,7,2,1,0,1,2,:,3,-1,3,3,1,1,1,5,:,4,1,4,,Season 58782
9,1,VFL Bern,5,2,1,2,6,:,6,0,7,3,2,0,1,5,:,3,2,6,2,0,1,1,1,:,3,-2,1,,Season 58782
10,0,VFL Athens,5,2,1,2,6,:,7,-1,7,2,1,1,0,4,:,1,3,4,3,1,0,2,2,:,6,-4,3,,Season 58782
11,-1,VFL Rome,5,1,3,1,6,:,7,-1,6,2,0,1,1,2,:,4,-2,1,3,1,2,0,4,:,3,1,5,,Season 58782
12,1,VFL Copenhagen,5,2,0,3,5,:,6,-1,6,2,1,0,1,2,:,2,0,3,3,1,0,2,3,:,4,-1,3,,Season 58782
13,-1,VFL Brussels,5,2,0,3,6,:,8,-2,6,3,2,0,1,6,:,4,2,6,2,0,0,2,0,:,4,-4,0,,Season 58782
14,0,VFL Madrid,5,1,0,4,3,:,7,-4,3,3,1,0,2,3,:,4,-1,3,2,0,0,2,0,:,3,-3,0,,Season 58782
15,1,VFL Edinburgh,5,1,0,4,3,:,8,-5,3,3,0,0,3,0,:,6,-6,0,2,1,0,1,3,:,2,1,3,,Season 58782
16,0,VFL Ankara,5,0,2,3,0,:,6,-6,2,3,0,1,2,0,:,4,-4,1,2,0,1,1,0,:,2,-2,1,,Season 58782
1,0,VFL Oslo,6,5,0,1,8,:,2,6,15,3,3,0,0,6,:,0,6,9,3,2,0,1,2,:,2,0,6,,Season 58782
2,0,VFL Amsterdam,6,4,2,0,13,:,4,9,14,3,1,2,0,4,:,3,1,5,3,3,0,0,9,:,1,8,9,,Season 58782
3,0,VFL Stockholm,6,3,2,1,8,:,7,1,11,3,2,1,0,4,:,2,2,7,3,1,1,1,4,:,5,-1,4,,Season 58782
4,-1,VFL Berlin,6,3,1,2,10,:,6,4,10,3,1,1,1,3,:,3,0,4,3,2,0,1,7,:,3,4,6,,Season 58782
5,1,VFL Vienna,6,2,4,0,5,:,3,2,10,3,1,2,0,2,:,1,1,5,3,1,2,0,3,:,2,1,5,,Season 58782
6,1,VFL Paris,6,3,1,2,6,:,7,-1,10,3,2,0,1,5,:,4,1,6,3,1,1,1,1,:,3,-2,4,,Season 58782
7,-1,VFL Athens,6,2,2,2,6,:,7,-1,8,3,1,2,0,4,:,1,3,5,3,1,0,2,2,:,6,-4,3,,Season 58782
8,1,VFL Lisbon,6,2,1,3,8,:,5,3,7,3,1,0,2,4,:,3,1,3,3,1,1,1,4,:,2,2,4,,Season 58782
9,1,VFL London,6,2,1,3,8,:,9,-1,7,3,1,0,2,3,:,5,-2,3,3,1,1,1,5,:,4,1,4,,Season 58782
10,-1,VFL Rome,6,1,4,1,7,:,8,-1,7,3,0,2,1,3,:,5,-2,2,3,1,2,0,4,:,3,1,5,,Season 58782
11,-1,VFL Copenhagen,6,2,1,3,5,:,6,-1,7,3,1,1,1,2,:,2,0,4,3,1,0,2,3,:,4,-1,3,,Season 58782
12,1,VFL Bern,6,2,1,3,6,:,8,-2,7,3,2,0,1,5,:,3,2,6,3,0,1,2,1,:,5,-4,1,,Season 58782
13,-1,VFL Madrid,6,2,0,4,5,:,8,-3,6,3,1,0,2,3,:,4,-1,3,3,1,0,2,2,:,4,-2,3,,Season 58782
14,1,VFL Brussels,6,2,0,4,6,:,10,-4,6,3,2,0,1,6,:,4,2,6,3,0,0,3,0,:,6,-6,0,,Season 58782
15,0,VFL Edinburgh,6,1,1,4,3,:,8,-5,4,3,0,0,3,0,:,6,-6,0,3,1,1,1,3,:,2,1,4,,Season 58782
16,0,VFL Ankara,6,0,3,3,0,:,6,-6,3,3,0,1,2,0,:,4,-4,1,3,0,2,1,0,:,2,-2,2,,Season 58782
1,0,VFL Oslo,7,6,0,1,12,:,5,7,18,4,4,0,0,10,:,3,7,12,3,2,0,1,2,:,2,0,6,,Season 58782
2,0,VFL Amsterdam,7,4,2,1,16,:,8,8,14,3,1,2,0,4,:,3,1,5,4,3,0,1,12,:,5,7,9,,Season 58782
3,-1,VFL Paris,7,4,1,2,7,:,7,0,13,4,3,0,1,6,:,4,2,9,3,1,1,1,1,:,3,-2,4,,Season 58782
4,1,VFL Stockholm,7,3,3,1,9,:,8,1,12,4,2,2,0,5,:,3,2,8,3,1,1,1,4,:,5,-1,4,,Season 58782
5,1,VFL Berlin,7,3,1,3,10,:,7,3,10,3,1,1,1,3,:,3,0,4,4,2,0,2,7,:,4,3,6,,Season 58782
6,-1,VFL London,7,3,1,3,9,:,9,0,10,3,1,0,2,3,:,5,-2,3,4,2,1,1,6,:,4,2,7,,Season 58782
7,1,VFL Vienna,7,2,4,1,6,:,7,-1,10,3,1,2,0,2,:,1,1,5,4,1,2,1,4,:,6,-2,5,,Season 58782
8,-1,VFL Brussels,7,3,0,4,10,:,11,-1,9,4,3,0,1,10,:,5,5,9,3,0,0,3,0,:,6,-6,0,,Season 58782
9,1,VFL Athens,7,2,3,2,6,:,7,-1,9,3,1,2,0,4,:,1,3,5,4,1,1,2,2,:,6,-4,4,,Season 58782
10,1,VFL Lisbon,7,2,2,3,9,:,6,3,8,3,1,0,2,4,:,3,1,3,4,1,2,1,5,:,3,2,5,,Season 58782
11,1,VFL Rome,7,1,5,1,9,:,10,-1,8,3,0,2,1,3,:,5,-2,2,4,1,3,0,6,:,5,1,6,,Season 58782
12,1,VFL Copenhagen,7,2,2,3,6,:,7,-1,8,3,1,1,1,2,:,2,0,4,4,1,1,2,4,:,5,-1,4,,Season 58782
13,1,VFL Bern,7,2,2,3,7,:,9,-2,8,4,2,1,1,6,:,4,2,7,3,0,1,2,1,:,5,-4,1,,Season 58782
14,1,VFL Madrid,7,2,1,4,7,:,10,-3,7,4,1,1,2,5,:,6,-1,4,3,1,0,2,2,:,4,-2,3,,Season 58782
15,0,VFL Edinburgh,7,1,2,4,3,:,8,-5,5,4,0,1,3,0,:,6,-6,1,3,1,1,1,3,:,2,1,4,,Season 58782
16,0,VFL Ankara,7,0,3,4,0,:,7,-7,3,4,0,1,3,0,:,5,-5,1,3,0,2,1,0,:,2,-2,2,,Season 58782
1,0,VFL Oslo,8,6,1,1,13,:,6,7,19,4,4,0,0,10,:,3,7,12,4,2,1,1,3,:,3,0,7,,Season 58782
2,0,VFL Amsterdam,8,5,2,1,19,:,10,9,17,4,2,2,0,7,:,5,2,8,4,3,0,1,12,:,5,7,9,,Season 58782
3,0,VFL Paris,8,4,2,2,7,:,7,0,14,4,3,0,1,6,:,4,2,9,4,1,2,1,1,:,3,-2,5,,Season 58782
4,-1,VFL London,8,4,1,3,11,:,9,2,13,4,2,0,2,5,:,5,0,6,4,2,1,1,6,:,4,2,7,,Season 58782
5,-1,VFL Brussels,8,4,0,4,12,:,12,0,12,4,3,0,1,10,:,5,5,9,4,1,0,3,2,:,7,-5,3,,Season 58782
6,1,VFL Stockholm,8,3,3,2,11,:,11,0,12,4,2,2,0,5,:,3,2,8,4,1,1,2,6,:,8,-2,4,,Season 58782
7,-1,VFL Lisbon,8,3,2,3,10,:,6,4,11,4,2,0,2,5,:,3,2,6,4,1,2,1,5,:,3,2,5,,Season 58782
8,1,VFL Berlin,8,3,2,3,12,:,9,3,11,4,1,2,1,5,:,5,0,5,4,2,0,2,7,:,4,3,6,,Season 58782
9,1,VFL Vienna,8,2,5,1,6,:,7,-1,11,4,1,3,0,2,:,1,1,6,4,1,2,1,4,:,6,-2,5,,Season 58782
10,-1,VFL Copenhagen,8,2,3,3,7,:,8,-1,9,4,1,2,1,3,:,3,0,5,4,1,1,2,4,:,5,-1,4,,Season 58782
11,-1,VFL Bern,8,2,3,3,9,:,11,-2,9,4,2,1,1,6,:,4,2,7,4,0,2,2,3,:,7,-4,2,,Season 58782
12,1,VFL Athens,8,2,3,3,7,:,9,-2,9,4,1,2,1,5,:,3,2,5,4,1,1,2,2,:,6,-4,4,,Season 58782
13,1,VFL Rome,8,1,5,2,9,:,12,-3,8,4,0,2,2,3,:,7,-4,2,4,1,3,0,6,:,5,1,6,,Season 58782
14,0,VFL Madrid,8,2,1,5,7,:,11,-4,7,4,1,1,2,5,:,6,-1,4,4,1,0,3,2,:,5,-3,3,,Season 58782
15,-1,VFL Ankara,8,1,3,4,2,:,7,-5,6,4,0,1,3,0,:,5,-5,1,4,1,2,1,2,:,2,0,5,,Season 58782
16,1,VFL Edinburgh,8,1,2,5,3,:,10,-7,5,4,0,1,3,0,:,6,-6,1,4,1,1,2,3,:,4,-1,4,,Season 58782
1,0,VFL Oslo,9,6,2,1,14,:,7,7,20,5,4,1,0,11,:,4,7,13,4,2,1,1,3,:,3,0,7,,Season 58782
2,0,VFL Amsterdam,9,5,2,2,19,:,11,8,17,4,2,2,0,7,:,5,2,8,5,3,0,2,12,:,6,6,9,,Season 58782
3,0,VFL Paris,9,5,2,2,9,:,8,1,17,5,4,0,1,8,:,5,3,12,4,1,2,1,1,:,3,-2,5,,Season 58782
4,0,VFL London,9,5,1,3,12,:,9,3,16,4,2,0,2,5,:,5,0,6,5,3,1,1,7,:,4,3,10,,Season 58782
5,-1,VFL Berlin,9,3,3,3,13,:,10,3,12,4,1,2,1,5,:,5,0,5,5,2,1,2,8,:,5,3,7,,Season 58782
6,-1,VFL Copenhagen,9,3,3,3,8,:,8,0,12,5,2,2,1,4,:,3,1,8,4,1,1,2,4,:,5,-1,4,,Season 58782
7,1,VFL Brussels,9,4,0,5,12,:,13,-1,12,5,3,0,2,10,:,6,4,9,4,1,0,3,2,:,7,-5,3,,Season 58782
8,-1,VFL Bern,9,3,3,3,11,:,12,-1,12,5,3,1,1,8,:,5,3,10,4,0,2,2,3,:,7,-4,2,,Season 58782
8,1,VFL Stockholm,9,3,3,3,11,:,12,-1,12,4,2,2,0,5,:,3,2,8,5,1,1,3,6,:,9,-3,4,,Season 58782
10,1,VFL Lisbon,9,3,2,4,12,:,9,3,11,4,2,0,2,5,:,3,2,6,5,1,2,2,7,:,6,1,5,,Season 58782
11,-1,VFL Rome,9,2,5,2,11,:,12,-1,11,4,0,2,2,3,:,7,-4,2,5,2,3,0,8,:,5,3,9,,Season 58782
12,1,VFL Vienna,9,2,5,2,7,:,9,-2,11,4,1,3,0,2,:,1,1,6,5,1,2,2,5,:,8,-3,5,,Season 58782
13,-1,VFL Madrid,9,3,1,5,8,:,11,-3,10,5,2,1,2,6,:,6,0,7,4,1,0,3,2,:,5,-3,3,,Season 58782
14,1,VFL Athens,9,2,3,4,8,:,11,-3,9,4,1,2,1,5,:,3,2,5,5,1,1,3,3,:,8,-5,4,,Season 58782
15,0,VFL Ankara,9,2,3,4,5,:,9,-4,9,5,1,1,3,3,:,7,-4,4,4,1,2,1,2,:,2,0,5,,Season 58782
16,0,VFL Edinburgh,9,1,2,6,3,:,12,-9,5,5,0,1,4,0,:,8,-8,1,4,1,1,2,3,:,4,-1,4,,Season 58782
1,0,VFL Oslo,10,7,2,1,15,:,7,8,23,5,4,1,0,11,:,4,7,13,5,3,1,1,4,:,3,1,10,,Season 58782
2,-1,VFL Paris,10,5,3,2,10,:,9,1,18,5,4,0,1,8,:,5,3,12,5,1,3,1,2,:,4,-2,6,,Season 58782
3,1,VFL Amsterdam,10,5,2,3,19,:,12,7,17,5,2,2,1,7,:,6,1,8,5,3,0,2,12,:,6,6,9,,Season 58782
4,0,VFL London,10,5,2,3,13,:,10,3,17,5,2,1,2,6,:,6,0,7,5,3,1,1,7,:,4,3,10,,Season 58782
